x-axis,1,2,3
second,Volt,Volt,Volt
-43.85000E-03,+2.06875002E+00,+2.78125000E+00,+3.00624990E+00
-43.80000E-03,+1.97500002E+00,+2.87500000E+00,+2.97499990E+00
-43.75000E-03,+1.81875002E+00,+2.90625000E+00,+2.94374990E+00
-43.70000E-03,+1.56875002E+00,+2.87500000E+00,+2.81874990E+00
-43.65000E-03,+1.47500002E+00,+2.84375000E+00,+2.66249990E+00
-43.60000E-03,+1.25625002E+00,+2.75000000E+00,+2.50624990E+00
-43.55000E-03,+1.13125002E+00,+2.62500000E+00,+2.31874990E+00
-43.50000E-03,+1.00625002E+00,+2.50000000E+00,+2.06874990E+00
-43.45000E-03,+881.25002E-03,+2.28125000E+00,+1.78749990E+00
-43.40000E-03,+756.25002E-03,+2.09375000E+00,+1.56874990E+00
-43.35000E-03,+756.25002E-03,+1.84375000E+00,+1.31874990E+00
-43.30000E-03,+693.75002E-03,+1.62500000E+00,+1.09999990E+00
-43.25000E-03,+725.00002E-03,+1.37500000E+00,+881.24990E-03
-43.20000E-03,+756.25002E-03,+1.18750000E+00,+662.49990E-03
-43.15000E-03,+818.75002E-03,+968.75000E-03,+537.49990E-03
-43.10000E-03,+943.75002E-03,+812.50000E-03,+412.49990E-03
-43.05000E-03,+1.03750002E+00,+625.00000E-03,+349.99990E-03
-43.00000E-03,+1.22500002E+00,+531.25000E-03,+287.49990E-03
-42.95000E-03,+1.38125002E+00,+468.75000E-03,+287.49990E-03
-42.90000E-03,+1.56875002E+00,+468.75000E-03,+443.74990E-03
-42.85000E-03,+1.72500002E+00,+437.50000E-03,+537.49990E-03
-42.80000E-03,+1.88125002E+00,+500.00000E-03,+599.99990E-03
-42.75000E-03,+2.03750002E+00,+562.50000E-03,+849.99990E-03
-42.70000E-03,+2.19375002E+00,+718.75000E-03,+1.03749990E+00
-42.65000E-03,+2.31875002E+00,+843.75000E-03,+1.28749990E+00
-42.60000E-03,+2.41250002E+00,+1.06250000E+00,+1.47499990E+00
-42.55000E-03,+2.47500002E+00,+1.28125000E+00,+1.78749990E+00
-42.50000E-03,+2.50625002E+00,+1.50000000E+00,+2.06874990E+00
-42.45000E-03,+2.50625002E+00,+1.68750000E+00,+2.25624990E+00
-42.40000E-03,+2.50625002E+00,+1.90625000E+00,+2.47499990E+00
-42.35000E-03,+2.38125002E+00,+2.15625000E+00,+2.66249990E+00
-42.30000E-03,+2.31875002E+00,+2.34375000E+00,+2.78749990E+00
-42.25000E-03,+2.16250002E+00,+2.50000000E+00,+2.91249990E+00
-42.20000E-03,+2.00625002E+00,+2.62500000E+00,+2.94374990E+00
-42.15000E-03,+1.81875002E+00,+2.71875000E+00,+2.91249990E+00
-42.10000E-03,+1.69375002E+00,+2.78125000E+00,+2.91249990E+00
-42.05000E-03,+1.50625002E+00,+2.78125000E+00,+2.78749990E+00
-42.00000E-03,+1.28750002E+00,+2.81250000E+00,+2.66249990E+00
-41.95000E-03,+1.16250002E+00,+2.65625000E+00,+2.47499990E+00
-41.90000E-03,+1.00625002E+00,+2.56250000E+00,+2.25624990E+00
-41.85000E-03,+881.25002E-03,+2.43750000E+00,+2.03749990E+00
-41.80000E-03,+787.50002E-03,+2.25000000E+00,+1.81874990E+00
-41.75000E-03,+756.25002E-03,+2.06250000E+00,+1.53749990E+00
-41.70000E-03,+693.75002E-03,+1.84375000E+00,+1.28749990E+00
-41.65000E-03,+756.25002E-03,+1.62500000E+00,+1.03749990E+00
-41.60000E-03,+787.50002E-03,+1.34375000E+00,+849.99990E-03
-41.55000E-03,+881.25002E-03,+1.15625000E+00,+662.49990E-03
-41.50000E-03,+975.00002E-03,+968.75000E-03,+506.24990E-03
-41.45000E-03,+1.13125002E+00,+781.25000E-03,+443.74990E-03
-41.40000E-03,+1.25625002E+00,+656.25000E-03,+412.49990E-03
-41.35000E-03,+1.47500002E+00,+562.50000E-03,+412.49990E-03
-41.30000E-03,+1.63125002E+00,+500.00000E-03,+443.74990E-03
-41.25000E-03,+1.81875002E+00,+531.25000E-03,+537.49990E-03
-41.20000E-03,+2.03750002E+00,+562.50000E-03,+693.74990E-03
-41.15000E-03,+2.16250002E+00,+625.00000E-03,+881.24990E-03
-41.10000E-03,+2.31875002E+00,+781.25000E-03,+1.06874990E+00
-41.05000E-03,+2.41250002E+00,+937.50000E-03,+1.34999990E+00
-41.00000E-03,+2.47500002E+00,+1.09375000E+00,+1.56874990E+00
-40.95000E-03,+2.53750002E+00,+1.31250000E+00,+1.81874990E+00
-40.90000E-03,+2.50625002E+00,+1.53125000E+00,+2.06874990E+00
-40.85000E-03,+2.47500002E+00,+1.78125000E+00,+2.25624990E+00
-40.80000E-03,+2.35000002E+00,+1.96875000E+00,+2.47499990E+00
-40.75000E-03,+2.28750002E+00,+2.21875000E+00,+2.63124990E+00
-40.70000E-03,+2.19375002E+00,+2.37500000E+00,+2.75624990E+00
